journal,year,volume,issue,type,title,doi
Journal of Experimental Political Science,2021,8,1,Research Article,All Sins are not Created Equal: The Factors that Drive Perceptions of Corruption Severity,10.1017/XPS.2019.33
Journal of Experimental Political Science,2021,8,1,Research Article,"Class, Ethnicity, and Cooperation Among Women: Evidence from a Public Goods Experiment in Lebanon",10.1017/XPS.2020.3
Journal of Experimental Political Science,2021,8,1,Research Article,When Should the Majority Rule? Experimental Evidence for Madisonian Judgments in Five Cultures,10.1017/XPS.2020.8
Journal of Experimental Political Science,2021,8,1,Research Article,Can Conversing with a Computer Increase Turnout? Mobilization Using Chatbot Communication,10.1017/XPS.2020.5
Journal of Experimental Political Science,2021,8,1,Research Article,Pricing Immigration,10.1017/XPS.2020.6
Journal of Experimental Political Science,2021,8,1,Replications,Who Do You Loathe? Feelings toward Politicians vs. Ordinary People in the Opposing Party,10.1017/XPS.2020.9
Journal of Experimental Political Science,2021,8,1,Short Report,Citizen Approval of Monetary- vs Goods-For-Votes Exchanges,10.1017/XPS.2020.4
Journal of Experimental Political Science,2021,8,1,"Front Cover (OFC, IFC) and matter",XPS volume 8 issue 1 Cover and Front matter,10.1017/XPS.2021.7
Journal of Experimental Political Science,2021,8,1,"Back Cover (IBC, OBC) and matter",XPS volume 8 issue 1 Cover and Back matter,10.1017/XPS.2021.8
Journal of Experimental Political Science,2020,7,3,Research Article,Does Exposure to Gender Role Models Increase Women’s Political Ambition? A Field Experiment with Politicians,10.1017/XPS.2019.21
Journal of Experimental Political Science,2020,7,3,Research Article,Countering Misperceptions to Reduce Prejudice: An Experiment on Attitudes toward Muslim Americans,10.1017/XPS.2019.22
Journal of Experimental Political Science,2020,7,3,Research Article,Persistent Bias Among Local Election Officials,10.1017/XPS.2019.23
Journal of Experimental Political Science,2020,7,3,Research Article,Drowned Out by the Noise? The Downstream Mobilisation Effects of Party Campaigning between Local and General Elections,10.1017/XPS.2019.20
Journal of Experimental Political Science,2020,7,3,Research Article,Does Deliberative Education Increase Civic Competence? Results from a Field Experiment,10.1017/XPS.2019.29
Journal of Experimental Political Science,2020,7,3,Research Article,Should We Worry About Sponsorship-Induced Bias in Online Political Science Surveys?,10.1017/XPS.2019.25
Journal of Experimental Political Science,2020,7,3,Research Article,The Effects of Certain and Uncertain Incentives on Effort and Knowledge Accuracy,10.1017/XPS.2019.27
Journal of Experimental Political Science,2020,7,3,Short Report,Does Process Matter? Direct Democracy and Citizens’ Perceptions of Laws,10.1017/XPS.2019.28
Journal of Experimental Political Science,2020,7,3,"Front Cover (OFC, IFC) and matter",XPS volume 7 issue 3 Cover and Front matter,10.1017/XPS.2020.39
Journal of Experimental Political Science,2020,7,3,"Back Cover (IBC, OBC) and matter",XPS volume 7 issue 3 Cover and Back matter,10.1017/XPS.2020.40
Journal of Experimental Political Science,2020,7,2,Research Article,"“I Didn’t Lie, I Misspoke”: Voters’ Responses to Questionable Campaign Claims",10.1017/XPS.2019.18
Journal of Experimental Political Science,2020,7,2,Research Article,"Open for Politics? Globalization, Economic Growth, and Responsibility Attribution",10.1017/XPS.2019.24
Journal of Experimental Political Science,2020,7,2,Research Article,"Political Competition, Partisanship, and Interpersonal Trust Under Party Dominance: Evidence from Post-Apartheid South Africa",10.1017/XPS.2019.17
Journal of Experimental Political Science,2020,7,2,Research Article,Does Perceiving Discrimination Influence Partisanship among U.S. Immigrant Minorities? Evidence from Five Experiments,10.1017/XPS.2019.14
Journal of Experimental Political Science,2020,7,2,Research Article,"Believe It or Not? Partisanship, Preferences, and the Credibility of Campaign Promises",10.1017/XPS.2019.16
Journal of Experimental Political Science,2020,7,2,Short Report,Campaign Mailers and Intent to Turnout: Do Similar Field and Survey Experiments Yield the Same Conclusions?,10.1017/XPS.2019.2
Journal of Experimental Political Science,2020,7,2,"Front Cover (OFC, IFC) and matter",XPS volume 7 issue 2 Cover and Front matter,10.1017/XPS.2020.16
Journal of Experimental Political Science,2020,7,2,"Back Cover (IBC, OBC) and matter",XPS volume 7 issue 2 Cover and Back matter,10.1017/XPS.2020.17
Journal of Experimental Political Science,2020,7,1,Research Article,"Coordination, Communication, and Information: How Network Structure and Knowledge Affect Group Behavior",10.1017/XPS.2019.10
Journal of Experimental Political Science,2020,7,1,Research Article,“Friends-and-Neighbors” Mobilization: A Field Experimental Replication and Extension,10.1017/XPS.2019.1
